topic_id,topic,band,level,question,answer,source
ratio-proportion,Ratio & Proportion,6-7,medium,A map uses the scale 1 cm : 5 km. What real distance does 7.5 cm on the map represent?,37.5 km,reviewed_generated
ratio-proportion,Ratio & Proportion,6-7,medium,"If a : b = 3 : 4 and b = 20, find a.",15,reviewed_generated
ratio-proportion,Ratio & Proportion,6-7,medium,A recipe for 4 people uses 300 g of rice. How much rice is needed for 10 people?,750 g,reviewed_generated
ratio-proportion,Ratio & Proportion,6-7,challenge,The ages of two children are in the ratio 5 : 7 and their ages add up to 48 years. Find their ages.,20 years and 28 years,reviewed_generated
ratio-proportion,Ratio & Proportion,6-7,challenge,"8 workers can finish a job in 15 days. Working at the same rate, how many days would 12 workers take?",10 days,reviewed_generated
ratio-proportion,Ratio & Proportion,6-7,challenge,"If 4 : x = x : 25, find the positive value of x.",10,reviewed_generated
percentages,Percentages,6-7,easy,What is 25% of 80?,20,reviewed_generated
percentages,Percentages,6-7,easy,Write 3/5 as a percentage.,60%,reviewed_generated
percentages,Percentages,6-7,easy,10% of a number is 7. What is the number?,70,reviewed_generated
percentages,Percentages,6-7,medium,A student scores 36 out of 40 in a test. What percentage is this?,90%,reviewed_generated
percentages,Percentages,6-7,medium,A price of 500 increases by 12%. What is the new price?,560,reviewed_generated
percentages,Percentages,6-7,medium,"In a class of 40 students, 65% are girls. How many boys are in the class?",14,reviewed_generated
percentages,Percentages,6-7,challenge,A price rises by 20% and then falls by 20%. What is the overall percentage change?,4% decrease,reviewed_generated
percentages,Percentages,6-7,challenge,"After a 15% discount, an item costs 340. What was the original price?",400,reviewed_generated
percentages,Percentages,6-7,challenge,A town's population grows from 8000 to 9200. What is the percentage increase?,15%,reviewed_generated
simple-equations,Simple Equations,6-7,easy,Solve: x + 7 = 15,x = 8,reviewed_generated
simple-equations,Simple Equations,6-7,easy,Solve: 3x = 21,x = 7,reviewed_generated
simple-equations,Simple Equations,6-7,easy,Solve: x − 9 = −4,x = 5,reviewed_generated
simple-equations,Simple Equations,6-7,medium,Solve: 2x + 5 = 17,x = 6,reviewed_generated
simple-equations,Simple Equations,6-7,medium,Solve: x/4 − 3 = 2,x = 20,reviewed_generated
simple-equations,Simple Equations,6-7,medium,Solve: 5(x − 2) = 30,x = 8,reviewed_generated
simple-equations,Simple Equations,6-7,challenge,The sum of three consecutive whole numbers is 72. Find the numbers.,"23, 24, 25",reviewed_generated
simple-equations,Simple Equations,6-7,challenge,Solve: 7x − 4 = 3x + 16,x = 5,reviewed_generated
simple-equations,Simple Equations,6-7,challenge,A number is doubled and increased by 9. The result equals 33 minus the number. Find the number.,8,reviewed_generated
perimeter-area,Perimeter & Area,6-7,easy,Find the perimeter of a rectangle 8 cm long and 5 cm wide.,26 cm,reviewed_generated
perimeter-area,Perimeter & Area,6-7,easy,Find the area of a square with side 9 cm.,81 cm²,reviewed_generated
perimeter-area,Perimeter & Area,6-7,easy,The perimeter of a square is 36 cm. What is the length of one side?,9 cm,reviewed_generated
perimeter-area,Perimeter & Area,6-7,medium,Find the area of a triangle with base 10 cm and height 6 cm.,30 cm²,reviewed_generated
perimeter-area,Perimeter & Area,6-7,medium,A rectangle has an area of 48 cm² and a length of 8 cm. Find its width.,6 cm,reviewed_generated
perimeter-area,Perimeter & Area,6-7,medium,Find the circumference of a circle with radius 7 cm. (Use π = 22/7),44 cm,reviewed_generated
perimeter-area,Perimeter & Area,6-7,challenge,A wire is bent into a square of side 11 cm. The same wire is re-bent into a circle. Find the radius of the circle. (Use π = 22/7),7 cm,reviewed_generated
perimeter-area,Perimeter & Area,6-7,challenge,A rectangular park is 60 m by 40 m. A 2 m wide path runs inside along the boundary. Find the area of the path.,384 m²,reviewed_generated
perimeter-area,Perimeter & Area,6-7,challenge,"If the side of a square is doubled, how many times larger does its area become?",4 times,reviewed_generated
data-graphs,Data & Graphs,6-7,easy,"Find the mean of 4, 8, 6, 2.",5,reviewed_generated
data-graphs,Data & Graphs,6-7,easy,"Find the mode of 3, 5, 5, 7, 8.",5,reviewed_generated
data-graphs,Data & Graphs,6-7,easy,"Find the range of 12, 7, 15, 9.",8,reviewed_generated
data-graphs,Data & Graphs,6-7,medium,"Find the median of 7, 3, 9, 5, 11.",7,reviewed_generated
data-graphs,Data & Graphs,6-7,medium,"The mean of five numbers is 12. Four of them are 10, 14, 9 and 13. Find the fifth number.",14,reviewed_generated
data-graphs,Data & Graphs,6-7,medium,"In a bar graph, 1 unit stands for 5 students. A bar is 6 units tall. How many students does it show?",30,reviewed_generated
data-graphs,Data & Graphs,6-7,challenge,"The mean of 6 numbers is 15. When one number, 20, is removed, what is the mean of the remaining numbers?",14,reviewed_generated
data-graphs,Data & Graphs,6-7,challenge,"Find the median of 4, 4, 6, 8, 10, 12.",7,reviewed_generated
data-graphs,Data & Graphs,6-7,challenge,A die is rolled once. What is the probability of getting a number greater than 4?,1/3,reviewed_generated
